transcript_id,n_chunks,n_positive,positive_rate,split
RELABEL Spring_Branch_ISD-2025-12-15-Board_Meetings - Spring_Branch_ISD-2025-12-15-Board_Meetings,56,11,0.19642857142857142,train
RELABEL_Chunk_Katy_ISD-2025-05-12-Board_Meetings - Chunk_Katy_ISD-2025-05-12-Board_Meetings,108,11,0.10185185185185185,train
RELABEL_NEW_Copy of Katy_ISD-2025-10-27-Board_Meetings - NEW_Copy of Katy_ISD-2025-10-27-Board_Meetings,71,10,0.14084507042253522,train
RELABEL_Houston_ISD-2025-01-16-Board_Meetings - Houston_ISD-2025-01-16-Board_Meetings,86,10,0.11627906976744186,train
RELABEL Katy_ISD-2026-01-20-Board_Meetings - Chunk_Houston_ISD-2026-01-20-Board_Meetings,59,9,0.15254237288135594,train
RELABEL_Chunk_Katy_ISD-2025-03-20-Special_Board_Meeting - Chunk_Katy_ISD-2025-03-20-Special_Board_Meeting,63,8,0.12698412698412698,train
RELABEL_Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings - Chunk_Spring_Branch_ISD-2026-01-27-Board_Meetings,25,7,0.28,train
RELABEL_Chunk_Spring_Branch_ISD-2024-09-23-Board_Meetings - Chunk_Spring_Branch_ISD-2024-09-23-Board_Meetings,31,7,0.22580645161290322,train
RELABEL_ Katy_ISD-2025-02-24-Board_Meetings - NEW_Copy of Katy_ISD-2025-02-24-Board_Meetings,78,6,0.07692307692307693,train
RELABEL Spring_Branch_ISD-2025-08-25-Board_Meetings - Spring_Branch_ISD-2025-08-25-Board_Meetings,23,5,0.21739130434782608,train
RELABEL_Katy_ISD-2025-04-22-Board_Meetings - Katy_ISD-2025-04-22-Board_Meetings,54,5,0.09259259259259259,train
RELABEL Spring_Branch_ISD-2025-06-23-Board_Meetings - Spring_Branch_ISD-2025-06-23-Board_Meetings,21,4,0.19047619047619047,train
RELABEL_Katy_ISD-2025-08-25-Board_Meetings - Katy_ISD-2025-08-25-Board_Meetings,68,4,0.058823529411764705,train
RELABEL_NEW_Copy of Spring_Branch_ISD-2025-12-01-Special_Board_Meeting - NEW_Copy of Spring_Branch_ISD-2025-12-01-Special_Board_Meeting,71,4,0.056338028169014086,train
RELABEL NEW2_Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting - Chunk_Houston_ISD-2024-11-19-Special_Board_Meeting,10,3,0.3,train
RELABEL_Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings - Chunk_Spring_Branch_ISD-2025-10-27-Board_Meetings,32,3,0.09375,train
RELABEL_Katy_ISD-2025-03-31-Board_Meetings - Chunk_Katy_ISD-2025-03-31-Board_Meetings,106,3,0.02830188679245283,train
RELABEL Spring_Branch_ISD-2025-05-27-Board_Meetings - Spring_Branch_ISD-2025-05-27-Board_Meetings,35,2,0.05714285714285714,train
RELABEL_Katy_ISD-2024-09-23-Board_Meetings - Katy_ISD-2024-09-23-Board_Meetings,61,2,0.03278688524590164,train
RELABEL Chunk_Spring_Branch_ISD-2024-12-13-Special_Board_Meetings - Chunk_Spring_Branch_ISD-2024-12-13-Special_Board_Meetings,62,2,0.03225806451612903,train
RELABEL_Chunk_Spring_Branch_ISD-2025-12-01-Special_Board_Meetings - Chunk_Spring_Branch_ISD-2025-12-01-Special_Board_Meetings,71,2,0.028169014084507043,train
RELABEL_Chunk_Spring_Branch_ISD-2025-01-23-Special_Board_Meetings - Chunk_Spring_Branch_ISD-2025-01-23-Special_Board_Meetings,20,1,0.05,train
RELABEL NEW_Copy of Spring_Branch_ISD-2025-05-05-Special_Board_Meeting - NEW_Copy of Spring_Branch_ISD-2025-05-05-Special_Board_Meeting,25,1,0.04,train
RELABEL_Spring_Branch_ISD-2024-08-26-Board_Meetings - Spring_Branch_ISD-2024-08-26-Board_Meetings,30,1,0.03333333333333333,train
RELABEL_Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings - Chunk_Spring_Branch_ISD-2025-04-28-Board_Meetings,39,0,0.0,train
