chunk_id,window_start,window_end,text,URE,URE Description,binary_hit,confidence,notes
10,0:20:00,0:22:00,"[20:00–20:30]
We have 5,824 PTA volunteers registered with SBISD. This means that forty eight percent of all
registered volunteers in our district are affiliated with a PTA. If every PTA member volunteered
just one hour in our schools, that would be the equivalent of having 7.25 full time employees in the
district. And we all know that most PTA members volunteer more than one hour. My husband would be
the first to remind you of that. Thank you for giving us the time. Appreciate it.

[20:30–21:00]
Thank you all.

[21:30–22:00]
Thank you, Ollie. Annually, the Texas Art Education Association's District of Distinction Award
recognizes districts exhibiting outstanding leadership and promoting the arts in their communities.
Thanks to the creativity, commitment to excellence, and the exceptional efforts of our outstanding
visual arts teachers.",,,1,5,**Not sure why this one isn't caught if the one above it is??**
11,0:22:00,0:24:00,"[22:00–22:30]
under the leadership of Visual Arts Coordinator, Lindsay Ripley, Spring Branch is proud to have been
named a district of distinction for the fifth consecutive year. Of the 1,200 school districts
throughout Texas, only 109, a little less than 10% districts, received this honor, putting the SBISD
Visual Arts program tops in the state. As we congratulate our amazing teachers, I would like to
invite Houston Hayes, Director of Fine Arts and Health Fitness, to the podium and share more about
this prestigious award. Sure. Thank you.

[22:30–23:00]
Trustee Bennett. I appreciate it. Um so I am very, very happy to talk to you guys today about one of
our most favorite things is our District of Distinction recognition that we've received for the
fifth year in a row. I don't think it's hyperbole to say that we are one of the finest visual art
programs in the state of Texas, under the leadership of Lindsay Ripley here, who makes sure that we
get all the T's crossed and I's dotted. Uh but uh what I would like to tell you is that it's
important to us this recognition because it measures our district as a whole. And it's something
that isn't reliant upon one program.

[23:00–23:30]
one teacher or one student, but how we do as a district. So a kid that goes to Nottingham is getting
the same quality education in art that they are at Northbrook or Memorial Middle School. And that is
what we are all about. And so I'd like Lindsay to come up and just say a couple of words about this
recognition. Thank you, Houston. Good evening, everyone. It's a true honor to stand before you
tonight and celebrate the incredible work of Spring Branch IC's visual art teachers who have earned
this prestigious District of Distinction Award from TAEA. This recognition is not just a title, it's
a testament to the

[23:30–24:00]
passion, the hard work, the dedication of our educators. It highlights the high standards they
uphold, the essential opportunities they provide for every student artist in our district. They
don't just teach art, they inspire creativity, they enforce discipline, and they build confidence in
our students every day. To our visual arts teachers, thank you. This award is a direct reflection of
your commitment and lasting impact that you have on our students' lives. We are so proud of you and
grateful for everything you do. Okay, one more thing. So Lindsay doesn't know it, but today",,,0,5,
12,0:24:00,0:26:00,"[24:00–24:30]
Lindsay doesn't know it, but tonight she is receiving the Spring Branch Star for helming this for
the last three years now and getting five years overall total. So I would like for her to come up so
we can give her the star, and everybody come up so we can take a picture. The teachers that are here
today are Spring Branch IST visual art teachers. This is really their recognition.

[24:30–25:00]
Yes, I would also guys, I would be absolutely remiss if I did not point out Stephanie Walton.
Stephanie, step to the front for the people, please. Stephanie is our elementary teacher of the year
and Region Four finalist for Teacher of the Year. Thank you, Stephanie.

[25:30–26:00]
And I might see it if you want to look at eyes and see everyone. All right, count of three, one,
two, and three.",,,0,5,
13,0:26:00,0:28:00,"[26:00–26:30]
All right. The next item is public comment on agenda or non-agenda items. At board meetings, public
comment time is set aside for individuals who wish to address the board. During special meetings,
workship, workshops, and retreats, comments are limited to agenda items only. At regular meetings,
individuals may comment on both agenda and non-agenda items. Individuals who wish to participate
during the portion of the meeting designated for public comment shall sign up by completing the
appropriate form on the district website by submitting the form in person.

[26:30–27:00]
at the administration building or by sending an email with the district form as an attachment to the
email address listed on the form. Public comment forms must be received no later than 12 p.m. noon
on the day of the meeting and shall indicate the agenda item or topic on which they wish to address
the board. The length of public comment shall be at the discretion of the board president not to
exceed four minutes. We will do four minutes today. Because individual rights are protected by
various laws and board policies, complaints regarding specific employees or students should be
directed to the administration. If a person makes

[27:00–27:30]
complaints about a specific employee or student during public comment, the board president has the
discretion to move the board into closed session to hear such complaints. If anyone makes a
complaint about a specific employee by name or by job title, the board may hold the public comment
until the very end of public comments and hear all such complaints individually in closed session.
Under the law, the board cannot deliberate, discuss, or make a decision on any subject that is not
on the agenda. So, as a general matter, the board does not respond to questions as public comment.
Specific factual information or review of existing policies.

[27:30–28:00]
Review of existing policy, however, may where legally be allowed be provided in response to
inquiries or questions. At this time, we will begin public comment. And our first speaker is Diana
Alexander. Okay. I don't see Miss Alexander here. So we'll move to the second person who has signed
up, which is Juan Jose Reyes. Okay. All right. I do not see Mr. Reyes either. Okay, the next item on
the agenda is opening of school. Dr. Blaine. Yes.",,,0,5,
14,0:28:00,0:30:00,"[28:00–28:30]
Yes, so I provided you an update on the opening of school already, but we actually have a video, and
then we have some statistics uh to share with you all that are printed in your packet, but that also
will roll on the screen. So I'm gonna go ahead and have them play the video.",,,0,4,
15,0:30:00,0:32:00,"[30:00–30:30]
This is just gonna roll through slides, and you'll see the stats.",,,0,5,
16,0:32:00,0:34:00,"[33:00–33:30]
I just want to thank my again my senior staff. It's it the summers are always busy and we're happy,
but we're busy and they have done a great job. So hats off to you and your team for those of you
sitting in the audience, and if they're not sitting out here, please thank your teams on our behalf.
Thank you. The next item on the agenda is second reading and adoption of policy. CH local purchasing
and acquisition. Do we have a motion?",,,0,5,
17,0:34:00,0:36:00,"[34:00–34:30]
Motion. Yeah, I move that the board adopts policy CH local as presented. Second. Okay. It has been
moved by David Slattery and seconded by Courtney Anderson. Is there any discussion? All right. Those
in favor say aye. Aye. Those opposed say no. No. The motion is approved by a vote of six to one that
we approve CH local purchasing and acquisition.

[34:30–35:00]
Okay. The next item on the agenda is executive session. The board will now adjourn into executive
session under the following sections of the Texas Open Meeting Act. Section 551.074 regarding
routine and other personnel matters, including duties of employees and public officers. Section
551.0821 regarding deliberation of personally identifiable information of a public school student.
Section 551.076 regarding deliberation of the deployment or specific.

[35:00–35:30]
occasions for implementation of security personnel or devices or deliberation of a security audit.
Section 551.071 consultation with the board's attorney regarding all matters as authorized by law,
including but not limited to discussion of Elizondo versus Springbridge ISD, Civil Act No. H dash 21
1997, and legal issues surrounding public finance. The now the time is now six thirty five.

[35:30–36:00]
This meeting is now reconvened in open session in compliance with the provisions of the open
meetings law of the state of Texas. The time is now 804. The executive session just completed has
been held for discussion of topics as allowed by law. No action was taken. The next item on the
agenda is a request for approval of routine personnel items. Do we have a motion? So moved. Second.
Okay. It has been moved by Courtney Anderson and seconded by David Slattery. Is there any
discussion?",,,0,5,
18,0:36:00,0:38:00,"[36:00–36:30]
All those in favor say aye. Aye. All those opposed say no. The motion is approved by a vote of seven
to zero that we approve the routine personnel items. The next item is a request for approval of the
2025 bond oversight committee proposed charge, charge, and composition. Do we have a motion? So
moved. Second. Okay. A motion has been made by Walker Agnew and seconded by Chris Ernest. Is there
any discussion?

[36:30–37:00]
Okay. All those in favor say aye. Aye. Aye. Those opposed say no. The motion is approved by a vote
of seven to zero that we approve the 2025 Bond Oversight Committee proposed charge and composition.
The next item on the agenda is consent agenda action items. All items listed under this agenda item
are considered to be routine by the Board of Trustees and will be enacted with one motion. There
will be no separate discussion of items unless a board member so requests, in which event the items
will be

[37:00–37:30]
removed from the consent agenda and considered as an item for a separate vote. Is there any such
request? I request 12F. Okay. 12F. That is the request for approval of K through three screeners.
Anyone else? Okay. All right. So is there a motion for approval of the consent agenda items with the
exception of 12F? So moved. Second. Okay.

[37:30–38:00]
Okay. It has been moved by Walker Agnew and seconded by David Slattery. All those in favor say aye.
Aye. Aye. All those opposed say no. The motion is approved by a vote of seven to zero that we
approve the consent agenda action items. Yeah, with the exception of 12F. Thank you. Okay. Now then,
is there a motion for approval of consent agenda item 12F? We we have to make the motion and then
we'll discuss. Okay, thank you. And I'll second. Okay. All right.",,,0,5,
19,0:38:00,0:40:00,"[38:30–39:00]
It has been moved by Courtney Anderson and seconded by Jennifer Highland. Is there any discussion?
Yes, I just had a couple of questions because I want to make sure that everyone's everyone here, and
then you know parents, people watching at home are clear on what this means for the district.
Because right now we're waiting on TEA to provide guidance, which we know isn't coming anytime soon
because they're very busy. And we are kind of in a holding pattern waiting for them to issue their
approved list.

[39:00–39:30]
and so I was wondering if we knew exactly when we might expect that approved I shouldn't say exactly
generally when we should expect that approved list is that like in December is that next spring
that's a good question. Annie do you want to see a question to that sure good evening trustees Dr.
Blaine President Mahan I'm not really sure when to expect the list. I think that the law gave him a
couple of years to to do the list. Well there you and just to kind of confirm so this is part of how

[39:30–40:00]
So, this is part of House Bill 2 where the commissioner is required to adopt a list of resources for
us to do screeners. And so what we do know though is that TEA has lots of lists for different
things. And we already have one of our resources on the approved list for the first and second grade
screening that was previously in a law and the first grade dyslexia screener, and that's our
program, Amira, for reading. And so we're bringing this item forward tonight because part of House
Bill 2 says that while we're waiting on the commissioner to have his approved list, we can go ahead
and come to the board.",,,0,5,
20,0:40:00,0:42:00,"[40:00–40:30]
and share what we're using in our district to screen for early literacy and numeracy skills, and
that's what this board item is for. So this is good for a year. What we didn't want to do is try to
guess what might be on the commissioner's list and switch in case they end up going a different
direction. Okay, so Amira is currently approved. It is approved through some of the other House
bills previously adopted for first and second grade reading screening and for dyslexia. Okay, so and
this is what our primary dyslexia screener is? This is what we're using this year. Okay.

[40:30–41:00]
So I I do have a few concerns with AMIR just because it's AI. And I know like some parents, you
know, are get kind of get worked up about AI, but I I have some concerns just for kids who struggle
with say you know speech concerns or things like that. Um do we have a workaround for that for those
kids that aren't able to be clearly heard by the programming? Yes, absolutely. So we've been using
resources in our district and and schools have for a while that would give student, you know, take
an assessment, give them an individual.

[41:00–41:30]
And give them an individualized plan to work through given what that assessment has. The Amira
program will listen to students as they read, to your point, and do an oral reading fluency
assessment, but we're also partnering that with the live teacher with the students who is also
administering that assessment. So in the past, where we were doing a lot of skill assessments, and
teachers were left to do it, a lot of FaceTime with students, which is a great thing. Now we can
take some of this data, confirm it, listen to what it has, and then do continue to work live with
students through what we call Oracle.

[41:30–42:00]
Through what we call ORFs, oral reading fluency. So you'll see that on here too. So our K3 reading
screeners are a combination of the two, not just relying on a program. Okay. I just want to make
sure we're clear how that works. So appearance can understand what's going on. Okay, thank you. This
might be a good time just to just to state to Annie, to your team, to everyone in the district, our
attorneys, we've been given lots and lots and lots of rules and guidance.",,,1,5,**seems like a mention of research/assessment**
21,0:42:00,0:44:00,"[42:30–43:00]
Rules and guidances, guidances on things, and yet no rules and guidances on things. So it's we're
all doing our very best to comply with the laws. Um in Spring Branch, we typically do better than
just comply. We are typically ahead of them and do a much better job. But um I just want to thank
you guys for working overtime and having to guess and make all of these guesses when TEA has not
given us any guidance and um but the legislature has mandated different things. It's just
unfortunately it's

[43:00–43:30]
the same cycle over and over again in public education. And I just want to say Spring Branch does an
an amazing job staying ahead of it. Thank you. Despite what they throw at us. Hopefully, we'll have
funding when that list comes to support it. Thanks. Okay, thank you. I like your optimism. Yes, and
thank you, Trusty Anderson. That's an excellent point. We appreciate everybody going above and
beyond and just helping us navigate this. Okay, any more discussion? No. Okay. All those in favor
say aye. Aye.

[43:30–44:00]
All those opposed? Okay. It is the motion has been approved by a vote of seven to zero that we um
approve consent item agenda 12F. Dr. Blaine, do you have any closing remarks? Just want to um
publicly thank our Board of Trustees again for your support and um for standing behind us and making
sure that we have the resources necessary to do the job that we've been asked to do, and uh we
appreciate it. And I think our students are showing that they can do it more.",,,0,5,
22,0:44:00,0:46:00,"[44:00–44:30]
That they can do it, and we're really proud of them. Thank you. Okay, there being no further
business to come before the board, this regular meeting is adjourned. The time is now 812.",,,0,5,
