chunk_id,window_start,window_end,text,,,,,,,binary_hit,confidence
13,0:26:00,0:28:00,"[26:00–26:30]
star performance, college readiness, graduation data, and attendance data. The district again
received an A superior rating for 2025 from the Financial Integrity Rating System of Texas, or first
rating from the Texas Education Agency. The 2025 state accountability rating for the district was a
B. In 2025, the special education program again received the highest of four determination status
levels, with meets requirements from the results driven accountability system, or RDA.

[26:30–27:00]
RDA. And finally, the district received an accredited status for the 2425 school year. Moving into
the district profile, the three bar sets in this chart represent from left to right the state,
region four, and the district. Enrollment is captured each school year on the last Friday of
October, which is known as the PEM snapshot date. This is also the accountability subset. Enrollment
for the 2425 school year was down 737 students compared to the previous year.

[27:00–27:30]
The last set of columns shows the rate of emergent bilingual English learners. Spring branch
population of EBL students is considerably higher than the state in the region. It's also worth
noting that historically, more than 80% of this population is also economically disadvantaged. Can I
stop and ask you a question? Certainly, please. Why do you think that last um bit of data? Why do
you think that we have a higher percentage than the rest of Region 4? So compared to Region

[27:30–28:00]
four, to just so that everybody can see the slide, so it's um the region is 29.1% and we are 37.5
percent. Um a lot of it has uh to do with the high concentration of multifamily complexes, um, also
lower rent available in some areas. Uh that's a high preponderance, plus being in the Houston area
in general and being an urban um area makes the the likelihood of um getting employment and um
affording the um to stay in Spring Branch more likely.",,,,,,,0,3
14,0:28:00,0:30:00,"[28:00–28:30]
Who all is in region four? Just so that we can explain to the community who we're comparing against.
So help me here. Okay. So uh essentially all of the Houston region as we know it, it does extend
further than the Houston boundaries. It goes to Galveston on the south side. Eastwise, um Chambers
County is somewhat included. Um to the west, uh, I believe Katy is the most west district and then
the most north district, I believe, is Conroe. Conroe. So that kind of gives you the it's
widespread. It's larger than Houston, but um but encompasses.

[28:30–29:00]
all of Houston. Getting more specific to the taper report, the following slides will capture the
district performance for the state testing program STAR, as well as college readiness, graduation,
and attendance. The district performance exceeded the state and region overall, and by each tested
content area. Performance is also reported by student groups, the district race, ethnic,

[29:00–29:30]
The district race, ethnicity groups, and program groups exceeded the state and region in most areas.
And the district's rate of student growth in reading and in math were also ahead of the state and
the region. Looking now at college readiness, there are three advanced course options APIB, which
are actually based on test in this data report, dual credit completion, and on ramps completion.
SBISD student outcomes improved and/or exceeded the state and the region in all three options. Most
notably",,,,,,,0,5
15,0:30:00,0:32:00,"[30:00–30:30]
on-ramps course completion in Spring Branch is more than four times higher than the region and the
state. District SAT and ACT participation and performance, as well as students meeting or exceeding
TSI or college readiness criteria, continue to be well above the state and the region. For
graduation rates and attendance, graduation rate changes were mixed among all three cohorts, with
improvements seen at the district level for the four-year cohort. District attendance rates exceeded
the state and the region.

[30:30–31:00]
and chronic absenteeism was below the state and the region, which is the desired direction. The
district and campus taper reports are posted on each for the campus taper is posted on each campus
website on the school plans and reports page. And as you can see here in the example that we've
given, reports are archived and available for the past five years. Taper reports for the district
and schools throughout Texas for 2025 and prior years can be found on the

[31:00–31:30]
TEA website. This concludes the formal presentation. Thank you so much, Jennifer. Sure. At this
time, we'd like to invite the public to speak on the District 2024 2025 Texas Academic Performance
Report. The public hearing is now open and the time is 6 31. As we had no one sign up to speak, the
public hearing on the district 2024 2025 Texas Academic Performance Report is now closed.

[31:30–32:00]
Closed and then time continues to be 631. Board members, is there any discussion? I did have a
question. Oopsor, I'm kind of far away. Um I can't remember where I found it, but I noted it was on
one of your pages here. Um it looks like we have a lot higher enrollment in the um on ramps
generally than we do in the advanced and dual credit courses. Is that correct? Does that affect our
scores in any way? Do they does it all come out in the wash? Like is that something we need to
emphasize more to to you know boost performance or scores? So uh",,,,,,,0,5
16,0:32:00,0:34:00,"[32:00–32:30]
So essentially what's available to dual credit students versus an on-ramps, a dual enrollment
student, is you only can really pick one or the other for that option. So what you're seeing
probably seeing that our dual credit numbers are slightly below the state and the region, but we're
so much higher in the on-ramp. So to kind of answer your question as a starting point, we are we're
getting all those kids in the on-ramp situation. We're finding that kids tend to be more successful
to give a little bit of context to the public. So dual enrollment allows you to have a university
professor that that guides.

[32:30–33:00]
and teaches the class, but there's also a classroom teacher in the classroom. Um, and then once the
course ends, then the the student has the option to take the credit or to um just decline the credit
at the end. So it gives them more flexibility and options, and um the district has only expanded
those options, and so we are benefiting greatly from those opportunities. So the so like those count
being enrolled in either one of those kind of counts equally for that score. So it doesn't matter
that we're low on one, high on the other, or anything like that. It counts the same in GPA and it
also counts the same in um for the most

[33:00–33:30]
part in um courses that are are um college credit that's accepted by other universities. Yeah. So
for on ramps, you mentioned with the dual enrollment you're allowed to opt to take the credit or
not. What about with on ramps? That is on ramps. For dual dual credit, you you you get the credit
for dual enrollment and for on ramps, you're talking about the same thing. Dual enrollment and um
and on ramps are the same thing. Okay. Yeah, dual credit, you you have to take the cour you have to
take the grade that you receive. I have one clarification question in this section, um and this
isn't something that you specifically went over, but the section that",,,,,,,0,5
17,0:34:00,0:36:00,"[34:00–34:30]
But the section when we are tracking our um higher education students. Would you clarify not
trackable and not found? Not found makes sense to be, but what makes a person not trackable? So I
would uh I could guess I I don't I don't think I have the definitions to those. Okay. Um but o but
oftentimes um not found one is the one and one is the other. Um it could be that they don't
necessarily have a as an example, social security code that i ID that is how they're tracking them
in the background. Okay. I just thought it was interesting that it was separated and I didn't know.
Yeah.

[34:30–35:00]
I didn't know I'm happy to follow up with that. Thanks. Okay. And oh sorry. No, it's going to be a
good idea. So piggybacking off that I had a similar one. You go ahead. Okay. Um, because in um I
guess it's page 17 of 34, it uh there's a similar thing, not included in accountability. And it's
one of them says mobile and the other says other exclusions. And I didn't know if if you knew what
the the difference was between those. I thought that was interesting. I'm assuming mobile means they
probably moved. So yes, I can I can answer that one. So not included in accountability. They took
the test with us, but they have to be here on the snapshot date in October, in order for

[35:00–35:30]
them to count in the accountability subset. Not including an accountability. Other exclusions could
be a certain odd for special ed severely special ed student. Okay. Thank you. I I was unclear and I
wanted to make sure I understood. Okay, I have one more question about the on ramps. So yeah. It was
my understanding that on ramps was the UT program. It is. But then we're calling like the classes at
HCC and all that were just dual credit or dual enrollment. Is am I confused? Or is that a little bit
more? Let me let me just explain it for me. Okay. Sure. Let's see if I can make it clear.

[35:30–36:00]
So HTC is dual credit. Okay. On ramps, UT, dual enrollment are all the same thing. And we kind of we
use them interchangeably. But on ramps is UT. Just through UT. That's what they call their programs.
Yes. Okay. But it's all dual credit or dual enrollment. It's all dual enrollment. Yes. Yeah, no
problem. Uh a question for you. How does um call do or maybe let me rephrase it? Does College Board
have any comparison, anything to do with our taper report? Because I think, you know, I know that's",,,,,,,0,5
18,0:36:00,0:38:00,"[36:00–36:30]
more of a national snapshot. So say more. So the College Board data is included that the for those
graduating seniors. And then we also have their participation rate. And it's so high because we do
offer SAT day. Okay. And then um because I know College Board tracks the AP scores and the number of
exams taken and that type stuff. And all that information goes from College Board directly to TEA.
We don't provide that um to to them as a reportable. Okay. So they are they're speaking They're
they're they're the data source for this report. Yeah. Okay.

[36:30–37:00]
Okay, but I wanna I have another question about that. This is uh you may or may not know. So, like,
say a student takes multiple SATs, do those all go to the state? Like, do they count their highest
one? Like, how does that factor in in in terms of our performance? Do you do you have any idea? I
don't know. Yeah, it I believe that as long as they report the school, it all goes back to us.
Sometimes you can take an SAT and not report your high school. So in that case, we may lose one, but
it's they're rate. It's only the ones that are reported that makes sense. Right. And in this report,
it's meeting making a criteria, meeting a criteria. So as long as that criteria has been met the one
time, then they're gonna count as a yes.

[37:00–37:30]
Okay. Thanks. And I remember reading somewhere that if you report two scores, like one sophomore
year, one junior year, or junior senior, I think they average it so per student. But it changes
every year, honestly. Thank you, TEA. So that could have changed. I don't know. So my my question is
about at the at the very end of the report, looking over the criminal incidents. The number of
criminal incidents seem to have increased recently. Was there a a different a change in the
reporting or new categories added? Yes. I mean those numbers have more than doubled in five years.
So this is not my

[37:30–38:00]
forte, but I can definitely explain uh what you've asked. So um the discipline codes change every
year. Okay. And I'll give you a perfect example. It's probably the easiest one to talk about is
number four, which is the uh possession of um of substance and drugs. You see how it went from
having a large number several years ago to going to zero? Yes. Okay, well they have a new code in
number sixty-two. Yeah, I figured sixty-two was new. So there is there are switchings of codes that
make codes obsolete or bring new codes on board. So",,,,,,,0,5
19,0:38:00,0:40:00,"[38:30–39:00]
um without looking at the entirety and that's why we give you the entire report obviously it's these
are not crim all criminal and um violent offenses it's literally our discipline report you have
everything in front of you right um like I noticed that now there's an entire category for
e-cigarettes whereas five years ago there probably wasn't the legislature told us we had to change
the way we discipline like if someone's caught with a with a vape or an e-cigarette or whatnot then
they immediately have to go to a different placement. So when things change then it like makes our
reflex like the behavior of our students has changed. It's more the way that the way we're

[39:00–39:30]
recording and if you're not going to be able to do that, yeah, contract is checked. Correct.
Correct. Thank you. Sure. Any others? Okay, thank you, ladies. Thank you. The next item on the
agenda is an update on campus safety detection audit findings. Dr. Blaine. Yes. Um I believe, Pam uh
Dr. Williams, are you coming to the podium? Um and and Pam's gonna come to the Pam's at the back of
the room, Pam Metcalf, our director of uh safety and security, and she has just uh one update for
us.

[39:30–40:00]
Yes, Dr. Blaine, President Mahan, trustees. A detection audit was conducted by the Texas School
Safety Center, and any corrective action plans, if needed, were put into place. Notice of this audit
and corrective plan is to meet the requirements of the Governor of Texas and the Texas School Safety
Center. Thank you. The next item on the agenda.",,,,,,,0,5
20,0:40:00,0:42:00,"[40:00–40:30]
is executive session. The board will now adjourn into executive session under the following sections
of the Texas Open Meetings Act. Section 551074 regarding routine and other personnel matters,
including duties of employees and public officers. Section 5510821 regarding deliberation of a
personally identifiable information of a public school student. Section 551076 regarding
deliberation of the deployment or specific occasions for implementation of security personnel or
devices or deliberation of a security.

[40:30–41:00]
audit, Section 551071, consultation with the board's attorney regarding all matters as authorized by
law, including but not limited to discussion of Elonzondo versus Bring Branch ISD, Civil Act No. H.
21, 1997, and legal issues surrounding public finance. The time is now 640. This meeting is now
reconvened in open session in compliance with the provisions of the open meetings laws of the state
of Texas. The time is now 732. The executive session just completed has been held for discussion.

[41:00–41:30]
of topics as allowed by the law. No action was taken. The next item on the agenda is a request for
approval of routine personnel items. Do we have a motion? So moved. Second. Is there any discussion?
Those in favor say aye. Aye. The motion those opposed say no. No. It's okay. That was the motion is
approved.

[41:30–42:00]
by a vote of six to zero that we approve routine personal items as recommended by the
administration. The next item on the agenda is a request for consideration of the resignation
agreement in the matter of SBISD versus Richard Stowick, TEA, Docket 080, LH 12, 2025. Do we have a
motion? Um yes, I move that the board approve approve the resignation agreement of Richard Stovia
and further move that the board authorize the superintendent to finalize and execute the same.",,,,,,,0,5
21,0:42:00,0:44:00,"[42:30–43:00]
Second. Is there any discussion? Those in favor say aye. Aye. Aye. Those opposed say no. The motion
is approved by a vote of six to zero that we approve the resignation agreement of Richard Stoiac and
further move that the board authorize the superintendents to finalize and execute the same. The next
item on the agenda is a second reading and adoption of policy CQC Local Technology Services
Equipment. Do we have a motion? I move that we approve. Second.

[43:00–43:30]
Second. Is there any discussion? It has been moved by Jen Jennifer Highland and seconded by David
Slattery. Those in favor say aye. Aye. Those opposed say no. The motion is approved by a vote of six
to zero that we approve CQC Local Technology Services Equipment. The next item on the agenda is
second reading and adoption of policy TASBE update 126. Given that we have 27 policies for adoption,
we will proceed with one motion unless a board member requests to address a particular policy
separately for discussion and consideration.

[43:30–44:00]
Consideration. Is there any such request? Yes. I would like to pull policy CQD to amend the
language. Okay. Do we have a motion to approve 26 policies with the exception of CDQ local? So
moved. Second. It has been moved by David Slattery and seconded by Caroline H. Bennett. Is there any
discussion? Those in favor say aye. Aye. Aye. Those opposed say no. The motion is approved by a vote
of six to zero that we approve the twenty-six policies for.",,,,,,,0,5
22,0:44:00,0:46:00,"[44:00–44:30]
Six policies for adoption. Now we will take into consideration policy CQD local. Do you need a
motion for that? Yes, I'm getting. Do we have a motion? Moved. Thank you. And seconded. Okay. It is
there any discussion? Um I'd like to propose that we add the following language to what's already
included in the local policy. The district shall protect the confidentiality of student data,
student information.

[44:30–45:00]
shall be used solely for the provision of contracted educational services and shall not be used for
secondary, commercial, or unrelated purposes by third party entities. Yeah, that was that was
language that was suggested after the the first reading after consulting with Ellen. It was not
significant enough of a addition to warrant having to do a separate reading for it. So it's to
secure, you know, our our st or give our parents.

[45:00–45:30]
peace of mind that we are going to watch out for their students' personal data and that that we have
committed to that. Yeah, I think this is something people in the community are asking us for. I
think the clarification is wise. Okay. Well it was moved by David Slattery and seconded by Jennifer
Highland. All those in favor say aye. Aye. Those opposed say no. The motion is approved by a vote of
six to zero that we approve policy CQD local. The next item on the agenda is a request for
consideration and approval of order authorizing the issue.

[45:30–46:00]
Authorizing the issuance of Spring Branch Independent School District unlimited tax refunding bonds
subject to certain parameters authorizing pricing officers to approve the terms thereof, providing
for the security and payment thereof, and enacting other provisions relating thereto. Do we have a
motion? So moved. Second. It has been moved by Walker Agnew and seconded by Caroline H. Bennett. Is
there any discussion? Those in favor say aye.",,,,,,,0,5
23,0:46:00,0:48:00,"[46:00–46:30]
Aye. Those opposed say no. The motion is approved by a vote of six to zero that we approve the order
authorizing the issuance of Spring Branch Independent School District unlimited tax refunding bonds
subject to certain parameters authorizing pricing officers to approve the terms thereof, providing
for the security and payment thereof, and enacting other provisions relating thereto. The next item
on the agenda is consent agenda action items. All items listed under this agenda item are considered
to be routine by the Board of Trustees and will be enacted with one motion.

[47:00–47:30]
Dr. Blaine, I do understand that the administration has requested to remove item 13.1. Is this
correct? That is correct. Yes. Thank you. There will be no separate discussion of items unless a
board member so requests, in which event the items will be removed from the consent agenda and
considered as an item for a separate vote. Is there any such request? Okay, is there a motion for
approval of the consent agenda action items with the removal of 13i? So moved. Second.

[47:30–48:00]
Second. It has been moved by Courtney Anderson and seconded by David Slattery. Any discussion? All
those in favor say aye. Aye. Those opposed say no. The motion is approved to accept the consent
agenda items. The next item on the agenda is Facility Improvement Program Monthly Status Report as
of December 20 December 2025. This is an information item and related documents are included in the
board packet. Any questions from",,,,,,,0,5
24,0:48:00,0:50:00,"[48:00–48:30]
board members or comments from administration on these items? No, no questions. Just had add a
comment that for each of the bond programs there were no changes in the in the bond status on any of
those. Okay. Everything was within current um budget sheets. So great. Thank you. Dr. Blaine, do you
have any closing remarks? Um just a reminder, and I neglected to say this at the beginning, so I
want to make sure I say it now. This weekend is our show in sale.

[48:30–49:00]
Our show and sale for our FFA students, as you know, they came and presented at the uh last board
meeting. And um, those kids just do an incredible job and are so hardworking. If you are able to go
out this weekend and support those kiddos, that would be awesome. Thank you. Thanks. There being no
further business to come before the board, this regular meeting is adjourned, and the time is now
7:40.",,,,,,,0,5
